18824,0,0,
18864,0,4,
18898,0,3,0
18922,0,0,
18923,0,1,1
18929,0,1,
18957,0,3,
18958,0,2,0
18976,0,0,
18977,0,1,1
18983,0,1,
21127,0,1,
21149,0,0,
21369,0,1,4
21393,0,4,
21394,0,3,1
21412,0,1,
21797,0,0,0
21803,0,0,
21804,0,1,4
21828,0,4,
21869,0,3,0
21893,0,0,
21894,0,1,1
21900,0,1,
22176,0,0,0
22182,0,0,
22183,0,1,4
22207,0,4,
22263,0,3,1
22281,0,1,
22303,0,0,
22582,0,0,
22622,0,4,
22646,0,3,0
22670,0,0,
22671,0,1,2
22683,0,2,
22770,0,3,3
22776,0,3,
22777,0,2,0
22795,0,0,
22864,0,0,
22886,0,1,
23009,0,0,0
23015,0,0,
23016,0,1,4
23040,0,4,
23041,0,3,0
23065,0,0,
23066,0,1,1
23072,0,1,
23183,0,0,0
23189,0,0,
23190,0,1,2
23202,0,2,
23242,0,1,0
23254,0,0,
23255,0,1,1
23261,0,1,
23528,0,0,0
23534,0,0,
23535,0,1,4
23559,0,4,
23810,0,3,0
23834,0,0,
23835,0,1,4
23859,0,4,
23860,0,3,1
23878,0,1,
23900,0,0,
23901,0,1,1
23907,0,1,
23932,0,0,0
23938,0,0,
23939,0,1,4
23963,0,4,
24068,0,3,0
24092,0,0,
24093,0,1,1
24099,0,1,
24116,0,0,0
24122,0,0,
24123,0,1,4
24147,0,4,
24188,0,3,1
24206,0,1,
24207,0,2,4
24225,0,4,
24226,0,3,3
24232,0,3,
24266,0,0,
24359,0,1,2
24371,0,2,
24372,0,1,0
24384,0,0,
24416,0,0,
24450,0,3,
24451,0,2,0
24469,0,0,
24470,0,1,3
24488,0,3,
24572,0,2,0
24590,0,0,
24591,0,1,3
24609,0,3,
24631,0,4,
24649,0,3,0
24673,0,0,
24674,0,1,3
24692,0,3,
24693,0,2,0
24711,0,0,
24712,0,1,3
24730,0,3,
24796,0,2,0
24814,0,0,
24815,0,1,2
24827,0,2,
24831,0,1,0
24843,0,0,
24844,0,1,3
24862,0,3,
24914,0,2,0
24932,0,0,
24933,0,1,2
24945,0,2,
25046,0,1,0
25058,0,0,
25059,0,1,4
25083,0,4,
25342,0,3,0
25366,0,0,
25367,0,1,1
25373,0,1,
25376,0,0,0
25382,0,0,
25383,0,1,4
25407,0,4,
25408,0,3,1
25426,0,1,
25449,0,1,3
25467,0,3,
25468,0,2,2
25474,0,2,
25502,0,0,
25503,0,1,4
25527,0,4,
25528,0,3,3
25534,0,3,
25556,0,2,
25584,0,0,
25585,0,1,4
25609,0,4,
25610,0,3,2
25622,0,2,
25644,0,1,
25666,0,0,
25667,0,1,2
25679,0,2,
25810,0,1,0
25822,0,0,
25823,0,1,1
25829,0,1,
25913,0,0,0
25919,0,0,
25920,0,1,3
25938,0,3,
25939,0,2,2
25945,0,2,
25973,0,0,
25974,0,1,4
25998,0,4,
25999,0,3,2
26011,0,2,
26105,0,1,0
26117,0,0,
26118,0,1,3
26136,0,3,
26268,0,4,4
26274,0,4,
26275,0,3,0
26299,0,0,
26391,0,0,
26413,0,1,
26484,0,0,0
26490,0,0,
26491,0,1,4
26515,0,4,
26589,0,4,
26617,0,2,
26691,0,1,0
26703,0,0,
26704,0,1,2
26716,0,2,
26717,0,1,0
26729,0,0,
26730,0,1,3
26748,0,3,
26749,0,2,1
26761,0,1,
