22151,42,0,4
22151,55,0,2
23918,39,0,4
24077,51,0,4
24654,33,0,1
25286,33,3,0
25314,68,4,2
25322,67,0,1
25898,15,0,1
25920,15,0,1
26076,27,0,3
26539,39,0,3
26583,39,0,3
26622,33,0,2
26699,21,0,1
26803,27,0,3
26820,61,0,3
26834,69,4,2
26987,21,4,3
27048,36,3,0
27049,42,0,1
27155,33,0,4
27341,42,4,0
27355,78,4,0
27452,42,0,4
27567,33,0,1
27629,21,2,0
27643,20,0,2
27788,33,0,3
27917,39,0,3
28164,27,0,1
28543,33,3,0
28773,42,0,4
28835,33,0,1
28875,24,1,0
28989,36,0,3
29029,36,3,0
29294,27,2,0
29404,36,0,3
29610,36,2,0
29657,36,0,3
29665,72,0,4
29667,89,0,1
30039,33,0,4
30310,64,0,2
30330,91,4,3
30372,93,0,4
30435,43,0,2
30489,27,3,0
30630,36,0,3
30633,77,0,4
30854,30,3,2
30868,57,0,2
30982,39,0,4
31059,39,0,2
31146,33,0,3
31235,39,0,3
31283,27,0,1
31463,15,0,1
31499,15,0,1
31628,33,4,2
31758,39,0,4
31937,33,0,1
31959,45,0,4
32106,33,0,1
32581,15,0,1
32827,21,3,2
32867,39,4,0
33145,42,0,4
33153,84,0,4
33462,33,0,1
33469,26,0,1
33503,21,0,2
33615,40,0,2
33621,62,3,0
33635,48,2,0
33843,42,0,4
33931,45,0,3
33954,22,0,3
33963,51,0,3
33978,49,0,1
34065,27,0,3
34067,32,0,2
34079,61,0,2
34107,33,0,2
34125,43,0,4
34136,64,0,1
34436,27,0,3
34536,36,3,0
34571,39,3,0
34581,42,0,2
34592,31,0,2
34669,27,3,0
34695,42,0,4
34763,39,0,2
34843,21,0,1
34958,27,0,3
34959,39,0,1
35037,27,0,3
35126,36,1,0
35139,48,0,4
35140,54,0,3
35178,38,3,2
35205,25,3,2
35331,27,0,2
35348,48,0,4
35368,35,0,3
35410,33,0,2
35496,27,3,0
35506,42,0,4
35614,45,0,3
35634,44,3,0
35884,39,3,0
35982,39,3,0
36173,42,0,4
36376,42,3,0
36557,42,0,4
36803,27,1,2
36960,27,3,0
37059,36,1,3
37067,60,0,2
37206,30,1,0
37225,18,0,1
37298,27,0,3
37379,39,0,3
37596,45,0,4
37819,33,0,1
37884,21,0,2
37898,33,0,2
37905,48,0,3
37909,85,0,1
37929,125,4,0
37964,97,3,1
38003,80,0,2
38040,71,0,4
38094,49,0,1
38202,15,2,1
38476,33,0,4
38782,42,4,0
38922,36,0,3
38979,45,0,4
39262,45,0,3
39354,45,0,4
39476,45,0,3
39647,36,1,0
39729,39,3,0
39735,58,0,4
39925,42,3,0
39945,72,4,0
39963,61,4,1
40079,36,3,4
40237,15,3,4
40372,42,3,0
40409,46,3,4
40527,33,0,1
40726,36,3,4
40768,33,0,1
40850,33,3,0
40877,13,0,1
40963,15,0,1
40969,37,1,3
41303,33,4,0
41378,39,3,0
41384,58,0,4
41717,45,0,3
41831,33,4,0
42079,42,1,4
42212,30,4,2
42218,84,0,1
42220,104,3,0
42511,24,0,1
42663,33,3,0
42762,24,0,1
42824,24,1,0
42825,61,3,0
42865,46,0,4
43037,42,3,0
43056,36,0,2
43321,39,4,0
43400,24,0,1
43427,21,2,0
43643,33,4,3
43681,24,3,2
43703,40,4,0
43798,33,3,1
44014,15,0,1
44162,21,2,0
44221,33,3,1
44563,24,1,0
44594,15,1,0
44624,42,0,4
44681,42,4,0
44801,24,0,1
44842,33,3,0
44995,46,3,1
45002,61,0,2
45129,39,0,4
45526,36,3,1
45654,27,3,1
45692,36,3,4
45883,80,0,2
45890,86,3,4
45909,67,2,4
46321,58,0,3
46329,72,4,2
46559,24,2,3
46698,61,0,4
46722,37,3,4
46701,83,3,0
46738,65,0,3
47126,24,3,4
47337,45,0,3
47466,27,0,1
47760,27,0,3
47856,33,4,0
48004,42,0,4
48416,45,0,3
48493,30,3,1
48541,45,4,0
48612,30,0,2
48712,30,2,0
48844,36,0,3
48970,36,2,0
49266,51,4,0
49305,50,4,2
49347,127,3,4
49348,139,0,2
49382,112,0,3
49740,24,3,4
49864,42,3,0
49904,52,4,0
49923,46,0,2
50018,27,0,2
50058,27,3,0
50412,42,0,4
50457,45,0,3
50602,45,0,4
50652,42,3,0
50695,30,0,2
50796,21,0,1
50985,33,3,0
51402,39,4,2
51564,33,0,3
51643,36,2,0
51735,24,0,1
51739,34,0,1
51838,36,3,4
51982,33,1,3
52194,39,0,3
52477,33,0,2
52577,39,0,4
52799,30,3,2
53346,27,4,2
53413,27,0,2
53851,39,4,0
53902,51,4,0
53919,53,0,3
54195,45,0,4
54239,30,3,2
54446,58,0,1
54449,115,4,0
54482,82,3,0
54507,70,3,2
54531,59,2,0
54844,39,4,2
55055,21,0,1
55072,36,0,4
55209,36,3,1
55363,55,3,1
55364,73,3,4
55634,45,0,3
55918,36,3,0
56193,24,0,1
56228,33,0,4
56332,45,0,3
56354,23,0,3
56489,52,0,1
56495,68,3,0
56837,42,0,4
56872,32,4,0
56900,54,4,0
57033,42,3,4
57149,42,4,0
57209,24,0,1
57487,33,0,4
57620,24,0,1
57611,61,0,3
57616,56,0,3
57627,67,0,4
57622,72,1,4
57772,15,3,4
57797,15,3,4
57921,42,3,0
57975,33,4,3
58137,33,0,2
58142,28,0,2
58151,47,0,4
58281,42,3,0
58306,30,0,2
58351,55,0,4
58351,80,2,0
58396,54,4,3
58520,21,4,2
58870,39,0,4
58902,61,3,2
58914,77,0,4
58969,63,3,0
59037,36,0,3
59049,46,3,4
59078,46,3,2
59134,15,3,2
59188,27,0,2
59314,27,3,0
59315,33,0,1
59420,21,0,2
59510,15,3,2
59537,27,3,0
59765,30,0,2
59782,67,0,4
59795,67,3,2
59867,15,3,2
59946,39,0,4
59989,45,0,3
60024,57,3,0
60028,53,4,0
60040,82,3,4
60172,42,3,0
60191,61,3,0
60202,50,3,0
60206,46,3,0
60218,34,3,0
60233,32,0,2
60273,33,0,3
60283,23,0,3
60286,46,0,1
60396,21,3,2
60434,15,3,2
60448,21,3,1
60591,61,4,0
60608,82,3,2
60611,107,4,0
60662,75,0,3
60675,75,0,1
60768,36,2,4
60857,49,3,1
60863,77,0,4
60923,61,0,3
61015,33,0,2
61075,30,3,4
61107,15,3,4
61139,36,3,1
