23010,36,0,3
23203,33,0,2
23566,27,0,2
24070,21,0,1
24753,33,0,4
24991,39,0,2
25126,27,0,2
25247,27,3,0
25523,42,0,4
25608,45,0,3
25661,39,0,3
25805,21,2,4
25831,24,4,3
25874,36,3,0
26469,24,0,1
26571,33,0,4
26697,39,0,2
27110,27,0,2
27156,30,2,4
28591,45,0,3
28809,39,0,3
28840,34,0,1
29080,15,0,1
29182,21,0,2
29303,39,0,4
29327,65,0,4
29384,68,2,3
29396,56,0,3
29441,43,0,2
29598,30,1,0
29649,30,0,2
29706,27,3,0
29862,42,0,4
29884,70,0,4
29905,49,0,4
29924,30,0,4
29940,64,0,4
29968,43,0,3
29991,42,3,2
30012,62,0,2
30023,73,0,3
30095,36,3,0
30112,26,0,1
30153,33,0,4
30204,39,0,2
30257,33,0,3
30367,33,0,2
30409,30,3,4
30512,33,0,1
30882,21,0,2
30918,21,0,1
31078,27,0,3
31081,37,0,1
31117,33,0,4
31206,51,0,4
31324,45,0,3
31454,15,4,3
31481,27,0,1
31515,27,3,1
31587,27,0,3
31833,27,0,1
31834,60,0,4
32081,15,3,4
32100,45,0,3
32262,27,0,1
32360,15,0,1
32653,27,4,3
32753,27,0,1
32782,33,3,0
32948,42,1,4
33024,39,0,2
33058,31,0,2
33088,33,0,3
33120,33,0,2
33277,21,0,1
33457,15,0,1
33558,21,0,2
33665,27,0,2
33892,27,3,0
33916,28,0,4
34166,58,0,1
34178,53,3,2
34363,30,1,0
34468,36,2,3
34531,45,0,4
34660,51,0,4
34688,67,4,3
34708,69,0,4
34801,33,0,1
35107,39,4,1
35167,33,3,0
35345,24,0,1
35407,45,4,0
35549,30,0,2
35846,39,0,4
35849,36,0,4
36049,15,3,4
36076,30,4,2
36088,32,3,2
36103,45,3,0
36147,39,4,2
36259,27,0,2
36527,27,0,2
36739,39,0,4
36818,51,0,4
36818,92,4,0
36819,116,2,4
36906,29,0,4
36942,30,4,2
36963,62,0,4
37493,24,4,3
37794,24,3,2
37963,21,4,3
37975,43,4,0
37985,71,3,0
38125,36,2,3
38343,33,4,0
38399,30,0,2
38699,39,0,4
38753,39,0,2
39035,15,3,2
39108,27,3,0
39524,36,0,3
39540,59,0,1
39577,44,2,0
39747,33,3,1
39838,15,0,1
39890,36,3,4
39955,39,0,2
40074,27,3,0
